ID,NOM,NOM_M,INSEE_COM,STATUT,POPULATION,INSEE_CAN,INSEE_ARR,INSEE_DEP,INSEE_REG,SIREN_EPCI
COMMUNE_0000000009738586,Guilers,GUILERS,29069,Commune simple,8170,04,1,29,53,242900314
COMMUNE_0000000009741400,Rennes,RENNES,35238,Préfecture de région,225081,98,3,35,53,243500139
COMMUNE_0000000009737706,Plouvien,PLOUVIEN,29209,Commune simple,3892,18,1,29,53,242900553
COMMUNE_0000000009741748,Treffendel,TREFFENDEL,35340,Commune simple,1321,16,3,35,53,243500618
COMMUNE_0000000009741766,Melrand,MELRAND,56128,Commune simple,1519,15,2,56,53,200096675
COMMUNE_0000000009741435,Guémené-sur-Scorff,GUEMENE-SUR-SCORFF,56073,Commune simple,1097,02,2,56,53,245614417
COMMUNE_0000000009744033,Béganne,BEGANNE,56011,Commune simple,1423,04,3,56,53,243500741
COMMUNE_0000000009738555,Saint-Donan,SAINT-DONAN,22287,Commune simple,1456,21,4,22,53,200069409
COMMUNE_0000002200276503,Châtelaudren-Plouagat,CHATELAUDREN-PLOUAGAT,22206,Commune simple,3961,15,2,22,53,200069086
COMMUNE_0000000009736768,Plounéour-Brignogan-plages,PLOUNEOUR-BRIGNOGAN-PLAGES,29021,Commune simple,1940,15,1,29,53,242900793
COMMUNE_0000000009738576,Le Tréhou,LE TREHOU,29294,Commune simple,640,21,1,29,53,242900801
COMMUNE_0000000009738132,Guerlesquin,GUERLESQUIN,29067,Commune simple,1273,20,3,29,53,242900835
COMMUNE_0000000009739027,Huelgoat,HUELGOAT,29081,Commune simple,1398,07,2,29,53,200067197
COMMUNE_0000000009741392,Saint-Jean-sur-Vilaine,SAINT-JEAN-SUR-VILAINE,35283,Commune simple,1370,05,1,35,53,200039022
COMMUNE_0000000009743704,La Vraie-Croix,LA VRAIE-CROIX,56261,Commune simple,1474,16,3,56,53,245614383
COMMUNE_0000000009740703,Gourin,GOURIN,56066,Commune simple,3823,02,2,56,53,245614417
COMMUNE_0000000009738118,Plélo,PLELO,22182,Commune simple,3230,15,2,22,53,200069086
COMMUNE_0000000009741404,Mordelles,MORDELLES,35196,Commune simple,7658,24,3,35,53,243500139
COMMUNE_0000000009737251,Tréglonou,TREGLONOU,29290,Commune simple,691,18,1,29,53,242900553
COMMUNE_0000002200276505,La Roche-Jaudy,LA ROCHE-JAUDY,22264,Commune simple,2657,27,3,22,53,200065928
COMMUNE_0000000009738092,Saint-Guinoux,SAINT-GUINOUX,35279,Commune simple,1225,07,4,35,53,243500782
COMMUNE_0000000009743367,Plouhinec,PLOUHINEC,56169,Commune simple,5354,14,1,56,53,245600440
COMMUNE_0000000009742708,Colpo,COLPO,56042,Commune simple,2237,03,3,56,53,200067932
COMMUNE_0000000009742067,Guilligomarc'h,GUILLIGOMARC'H,29071,Commune simple,797,25,4,29,53,242900694
COMMUNE_0000000009739884,Uzel,UZEL,22384,Commune simple,1107,10,4,22,53,200067460
COMMUNE_0000000009738572,Saint-Sauveur,SAINT-SAUVEUR,29262,Commune simple,804,14,3,29,53,242900751
COMMUNE_0000000009742339,Availles-sur-Seiche,AVAILLES-SUR-SEICHE,35008,Commune simple,665,10,1,35,53,200039022
COMMUNE_0000000009737221,Bégard,BEGARD,22004,Commune simple,4839,01,2,22,53,200067981
COMMUNE_0000000009742683,Pléchâtel,PLECHATEL,35221,Commune simple,2763,02,2,35,53,200070662
COMMUNE_0000000009738101,Langrolay-sur-Rance,LANGROLAY-SUR-RANCE,22103,Commune simple,974,19,1,22,53,200068989
COMMUNE_0000000009742674,Sainte-Colombe,SAINTE-COLOMBE,35262,Commune simple,360,10,1,35,53,243500634
COMMUNE_0000000009743030,Brandivy,BRANDIVY,56022,Commune simple,1382,03,3,56,53,200067932
COMMUNE_0000000009742704,Cruguel,CRUGUEL,56051,Commune simple,659,13,2,56,53,200066777
COMMUNE_0000000009738088,Cherrueix,CHERRUEIX,35078,Commune simple,1103,07,4,35,53,200070670
COMMUNE_0000000009736253,Langoat,LANGOAT,22101,Commune simple,1152,27,3,22,53,200065928
COMMUNE_0000000009738575,Locmélar,LOCMELAR,29131,Commune simple,474,14,3,29,53,242900751
COMMUNE_0000000009742687,Mernel,MERNEL,35175,Commune simple,1014,11,2,35,53,200043990
COMMUNE_0000000009741778,Gouesnach,GOUESNACH,29060,Commune simple,2772,11,4,29,53,242900660
COMMUNE_0000000009741759,Réguiny,REGUINY,56190,Commune simple,1957,03,2,56,53,245614433
COMMUNE_0000000009742049,Beignon,BEIGNON,56012,Commune simple,1947,04,3,56,53,200066785
COMMUNE_0000000009743016,Saint-Laurent-sur-Oust,SAINT-LAURENT-SUR-OUST,56224,Commune simple,393,10,3,56,53,200066785
COMMUNE_0000000009743019,Missiriac,MISSIRIAC,56133,Commune simple,1180,10,3,56,53,200066785
COMMUNE_0000000009738570,Le Cloître-Saint-Thégonnec,LE CLOITRE-SAINT-THEGONNEC,29034,Commune simple,649,20,3,29,53,242900835
COMMUNE_0000000009739870,Plumaudan,PLUMAUDAN,22239,Commune simple,1382,02,1,22,53,200068989
COMMUNE_0000000009736748,Saint-Michel-en-Grève,SAINT-MICHEL-EN-GREVE,22319,Commune simple,448,20,3,22,53,200065928
COMMUNE_0000000009737658,Saint-Briac-sur-Mer,SAINT-BRIAC-SUR-MER,35256,Commune simple,2208,26,4,35,53,243500725
COMMUNE_0000000009737227,Lanvellec,LANVELLEC,22119,Commune simple,595,20,3,22,53,200065928
COMMUNE_0000000009737252,Lannilis,LANNILIS,29117,Commune simple,5708,18,1,29,53,242900553
COMMUNE_0000000009738560,Lanrodec,LANRODEC,22116,Commune simple,1375,15,2,22,53,200069086
COMMUNE_0000000009741056,Gomené,GOMENE,22062,Commune simple,539,02,4,22,53,200067460
COMMUNE_0000000009740682,Merdrignac,MERDRIGNAC,22147,Commune simple,2964,02,4,22,53,200067460
COMMUNE_0000000009738122,Saint-Agathon,SAINT-AGATHON,22272,Commune simple,2236,05,2,22,53,200067981
COMMUNE_0000000009739040,Roscanvel,ROSCANVEL,29238,Commune simple,823,09,2,29,53,200066868
COMMUNE_0000000009738991,La Landec,LA LANDEC,22097,Commune simple,738,14,1,22,53,200068989
COMMUNE_0000000009743353,Elven,ELVEN,56053,Commune simple,6436,16,3,56,53,200067932
COMMUNE_0000000009738539,Saint-Denoual,SAINT-DENOUAL,22286,Commune simple,484,17,4,22,53,200069391
COMMUNE_0000000009742058,Lantillac,LANTILLAC,56103,Commune simple,294,13,2,56,53,200066777
COMMUNE_0000000009739504,Landévennec,LANDEVENNEC,29104,Commune simple,338,09,2,29,53,200066868
COMMUNE_0000000009741091,Primelin,PRIMELIN,29228,Commune simple,640,10,4,29,53,242900629
COMMUNE_0000000009738124,Moustéru,MOUSTERU,22156,Commune simple,639,03,2,22,53,200067981
COMMUNE_0000000009744661,Camoël,CAMOEL,56030,Commune simple,1122,11,3,56,53,244400610
COMMUNE_0000000009741394,Châteaubourg,CHATEAUBOURG,35068,Commune simple,7512,05,1,35,53,200039022
COMMUNE_0000000009741442,Lanvénégen,LANVENEGEN,56105,Commune simple,1139,02,2,56,53,245614417
COMMUNE_0000000009741761,Évellys,EVELLYS,56144,Commune simple,3415,03,2,56,53,200096683
COMMUNE_0000000009742358,Bovel,BOVEL,35035,Commune simple,593,11,2,35,53,200043990
COMMUNE_0000000009741038,Betton,BETTON,35024,Commune simple,12695,03,3,35,53,243500139
COMMUNE_0000000009742047,Plélan-le-Grand,PLELAN-LE-GRAND,35223,Commune simple,4048,16,3,35,53,243500618
COMMUNE_0000000009738139,Loc-Eguiner,LOC-EGUINER,29128,Commune simple,387,14,3,29,53,242900751
COMMUNE_0000000009744052,Carnac,CARNAC,56034,Commune simple,4223,17,1,56,53,200043123
COMMUNE_0000000009743001,Thourie,THOURIE,35335,Commune simple,856,10,1,35,53,243500634
COMMUNE_0000000009742686,Lohéac,LOHEAC,35155,Commune simple,682,17,2,35,53,200043990
COMMUNE_0000000009742078,La Forêt-Fouesnant,LA FORET-FOUESNANT,29057,Commune simple,3463,11,4,29,53,242900660
COMMUNE_0000000009744031,Rieux,RIEUX,56194,Commune simple,2851,04,3,56,53,243500741
